name,date_apr,date,lot,kettle,compay,wled,base_oil_pct,base_gr_pct,liq_add_pct,sol_add_pct,si_pct,total_pct,pen,elco_xx,Flag for Removal,thickener,adj_base_pct,adj_sol_pct,adj_liq_pct,adj_si_pct,rework
RSC Heavy Haul #1.5,9/25/21,268,Y24129G,BK1,RS Claire,620 kg @ 1470 rpm,0.0684403,0.90,0.00,0.03,0.00,1.00,301,FALSE,FALSE,RSC,0.9683094,0.0316906,0.0000000,0.0000000,0.0000000
RSC Heavy Haul #1.5,2/10/21,41,R09048G,BK1,RS Claire,620 kg @ 1470 rpm,0.2120559,0.76,0.00,0.03,0.00,1.00,302,FALSE,FALSE,RSC,0.9631298,0.0368702,0.0000000,0.0000000,0.0000000
RSC Heavy Haul #1.5,10/30/20,304,Z29194F,BK1,RS Claire,620 kg @ 1470 rpm,0.0359063,0.93,0.00,0.03,0.00,1.00,302,FALSE,FALSE,RSC,0.9675658,0.0324342,0.0000000,0.0000000,0.0000000
RSC Heavy Haul #1.5,11/11/20,316,A10056F,BK1,RS Claire,620 kg @ 1470 rpm,0.0359249,0.93,0.00,0.03,0.00,1.00,303,FALSE,FALSE,RSC,0.9680847,0.0319153,0.0000000,0.0000000,0.0000000
RSC Heavy Haul #1.5,6/24/21,175,V23150G,BK1,RS Claire,620 kg @ 1470 rpm,0.0544964,0.92,0.00,0.03,0.00,1.00,303,FALSE,FALSE,RSC,0.9683094,0.0316906,0.0000000,0.0000000,0.0000000
RSC Heavy Haul #1.5,9/30/21,273,Y29169G,BK1,RS Claire,620 kg @ 1470 rpm,0.0949409,0.88,0.00,0.03,0.00,1.00,303,FALSE,FALSE,RSC,0.9683094,0.0316906,0.0000000,0.0000000,0.0000000
RSC Heavy Haul #1.5,11/20/20,325,A19128F,BK1,RS Claire,620 kg @ 1470 rpm,0.0394910,0.93,0.00,0.03,0.00,1.00,304,FALSE,FALSE,RSC,0.9683072,0.0316928,0.0000000,0.0000000,0.0000000
RSC Heavy Haul #1.5,2/15/21,46,R13050G,BK1,RS Claire,620 kg @ 1470 rpm,0.0687103,0.90,0.00,0.03,0.00,1.00,304,FALSE,FALSE,RSC,0.9683592,0.0316408,0.0000000,0.0000000,0.0000000
RSC Heavy Haul #1.5,2/18/21,49,R18130G,BK1,RS Claire,620 kg @ 1470 rpm,0.0500096,0.92,0.00,0.03,0.00,1.00,304,FALSE,FALSE,RSC,0.9683094,0.0316906,0.0000000,0.0000000,0.0000000
RSC Heavy Haul #1.5,9/27/21,270,Y26161G,BK1,RS Claire,620 kg @ 1470 rpm,0.0241315,0.89,0.00,0.09,0.00,1.00,304,FALSE,FALSE,RSC,0.9110385,0.0889615,0.0000000,0.0000000,0.0000000
RSC Heavy Haul #1.5,11/16/20,321,A14083F,BK1,RS Claire,620 kg @ 1470 rpm,0.0394911,0.93,0.00,0.03,0.00,1.00,306,FALSE,FALSE,RSC,0.9683094,0.0316906,0.0000000,0.0000000,0.0000000
SPX Powertac M5 EP #1.5,12/1/22,335,A29193H,BK1,Pilot Thomas,620 kg,0.3919592,0.48,0.08,0.06,0.00,1.00,295,FALSE,FALSE,LX,0.7827608,0.0931485,0.1240906,0.0000000,0.0000000
Tomlith 220B #2,10/22/22,295,Z18125H,BK1,Maxima,500 kg,0.1264508,0.79,0.08,0.00,0.00,1.00,276,FALSE,FALSE,LX,0.9075563,0.0000000,0.0924437,0.0000000,0.0000000
XE 9810/1000 #2,4/29/23,119,T26214I,BK1,Blue Star,620 kg,0.3877433,0.47,0.07,0.07,0.00,1.00,281,FALSE,FALSE,LI,0.7708500,0.1179502,0.1111998,0.0000000,0.0000000
XP 9900 460 #1,9/23/22,266,Y21148H,BK1,Blue Star,500 kg,0.4616546,0.44,0.05,0.05,0.00,1.00,320,FALSE,FALSE,LX,0.8213135,0.0871641,0.0915223,0.0000000,0.0000000
Molylube 3%Moly EP GR LC 1,6/22/22,173,2206200146,BK1,Calumet,620 kg,0.4713568,0.45,0.02,0.06,0.00,1.00,319,FALSE,FALSE,LX,0.8555133,0.1140684,0.0304183,0.0000000,0.0000000
Reladyne Molytech 3% Mining Grease #0,12/2/22,336,A30206H,BK1,Reladyne,500 kg,0.5500000,0.31,0.09,0.06,0.00,1.00,379,FALSE,FALSE,LX,0.6777778,0.1222222,0.2000000,0.0000000,0.0209790
RP Ultra-Performance Grease #2,2/20/23,51,2302170157,BK2,Calumet,315kg ,0.0000000,0.78,0.14,0.00,0.08,1.00,288,FALSE,FALSE,AX,0.7798604,0.0000000,0.1445077,0.0756319,0.0000000
RP Ultra-Performance Grease #2,12/14/22,348,2212080067,BK2,Calumet,315kg ,0.0000000,0.79,0.16,0.00,0.06,1.00,279,FALSE,FALSE,AX,0.7870018,0.0000000,0.1571465,0.0558517,0.0000000
RP Ultra-Performance Grease #2,10/10/22,283,2210070046,BK2,Calumet,315kg ,0.0000000,0.81,0.16,0.00,0.04,1.00,275,FALSE,FALSE,AX,0.8055915,0.0000000,0.1553567,0.0390518,0.0000000
RP Ultra-Performance Grease #2,2/9/23,40,2302070062,BK2,Calumet,315kg ,0.0000000,0.81,0.16,0.00,0.04,1.00,286,FALSE,FALSE,AX,0.8052640,0.0000000,0.1557959,0.0389401,0.0000000
RP Ultra-Performance Grease #2,2/6/23,37,2302030018,BK2,Calumet,315kg ,0.0000000,0.81,0.15,0.00,0.04,1.00,288,FALSE,FALSE,AX,0.8076088,0.0000000,0.1543182,0.0380730,0.0000000
RP Ultra-Performance Grease #2,2/17/23,48,2302160135,BK2,Calumet,315kg ,0.0000000,0.81,0.16,0.00,0.03,1.00,288,FALSE,FALSE,AX,0.8109840,0.0000000,0.1569011,0.0321150,0.0000000
RP Ultra-Performance Grease #2,2/16/23,47,2302150132,BK2,Calumet,315kg ,0.0000000,0.81,0.16,0.00,0.03,1.00,281,FALSE,FALSE,AX,0.8111184,0.0000000,0.1569211,0.0319605,0.0000000
RP Ultra-Performance Grease #2,12/19/22,353,2212150138,BK2,Calumet,315kg ,0.0000000,0.84,0.16,0.00,0.03,1.03,288,FALSE,FALSE,AX,0.8353637,0.0000000,0.1618517,0.0306300,0.0000000
RP Ultra-Performance Grease #2,2/28/23,59,2302280272,BK2,Calumet,315kg ,0.0000000,0.81,0.16,0.00,0.03,1.00,282,FALSE,FALSE,AX,0.8109012,0.0000000,0.1615115,0.0275874,0.0000000
RP Ultra-Performance Grease #2,2/21/23,52,2302180163,BK2,Calumet,315kg ,0.0000000,0.82,0.15,0.00,0.03,1.00,285,FALSE,FALSE,AX,0.8188491,0.0000000,0.1548521,0.0262988,0.0000000
RP Ultra-Performance Grease #2,2/13/23,44,2302100116,BK2,Calumet,315kg ,0.0000000,0.82,0.16,0.00,0.03,1.00,281,FALSE,FALSE,AX,0.8164371,0.0000000,0.1579099,0.0256530,0.0000000
RP Ultra-Performance Grease #2,12/22/22,356,2212200163,BK2,Calumet,315kg ,0.0000000,0.82,0.16,0.00,0.02,1.00,287,FALSE,FALSE,AX,0.8194061,0.0000000,0.1573909,0.0232030,0.0000000
RP Ultra-Performance Grease #2,11/14/22,318,2211110089,BK2,Calumet,315kg ,0.0000000,0.82,0.16,0.00,0.02,1.00,288,FALSE,FALSE,AX,0.8229766,0.0000000,0.1573338,0.0196896,0.0000000
RP Ultra-Performance Grease #2,12/6/22,340,2212050026,BK2,Calumet,315kg ,0.0000000,0.82,0.16,0.00,0.02,1.00,287,FALSE,FALSE,AX,0.8216758,0.0000000,0.1587409,0.0195833,0.0000000
RP Ultra-Performance Grease #2,2/24/23,55,2302230221,BK2,Calumet,315kg ,0.0000000,0.82,0.16,0.00,0.02,1.00,285,FALSE,FALSE,AX,0.8229098,0.0000000,0.1589862,0.0181040,0.0000000
RP Ultra-Performance Grease #2,2/27/23,58,2302260252,BK2,Calumet,315kg ,0.0000000,0.83,0.16,0.00,0.02,1.00,288,FALSE,FALSE,AX,0.8252699,0.0000000,0.1568864,0.0178437,0.0000000
RP Ultra-Performance Grease #2,7/27/22,208,2207250167,BK2,Calumet,315kg ,0.0000000,0.83,0.16,0.00,0.01,1.00,287,FALSE,FALSE,AX,0.8287407,0.0000000,0.1603199,0.0109394,0.0000000
Molylube 5% Moly EP GR AC 46-0,3/17/23,76,2303160135,BK2,Calumet,620 kg,0.4980495,0.39,0.01,0.09,0.01,1.00,378,FALSE,FALSE,AX,0.7863217,0.1877480,0.0151596,0.0107708,0.1280563
Termalene Multipurpose EP GR 2,8/11/23,223,2308040052,BK2,Calumet,350 kg,0.1426679,0.81,0.04,0.00,0.01,1.00,330,FALSE,FALSE,AX,0.9402119,0.0000000,0.0498960,0.0098921,0.0000000
Molylube 5% Moly EP GR AC 150-0,5/27/22,147,2205230165,BK2,Calumet,800 kg,0.5160650,0.39,0.01,0.08,0.00,1.00,359,FALSE,FALSE,AX,0.8090283,0.1569691,0.0252089,0.0087938,0.0000000
Molylube 5% Moly EP GR AC 150-0,8/15/23,227,2308140131,BK2,Calumet,800 kg,0.5780329,0.33,0.01,0.08,0.00,1.00,381,FALSE,FALSE,AX,0.7847497,0.1778837,0.0286180,0.0087486,0.0000000
RP Ultra-Performance Grease #2,9/20/23,263,2309180118,BK2,Calumet,315kg ,0.0000000,0.83,0.16,0.00,0.01,1.00,288,FALSE,FALSE,AX,0.8311894,0.0000000,0.1608945,0.0079161,0.0000000
Molylube 5% Moly EP GR AC 150-0,3/21/23,80,2303200166,BK2,Calumet,800 kg,0.6413315,0.26,0.01,0.08,0.00,1.00,370,FALSE,FALSE,AX,0.7258364,0.2342088,0.0320718,0.0078829,0.0000000
Termalene Multipurpose EP GR 2,8/3/23,215,2307310253,BK2,Calumet,350 kg,0.0000000,0.95,0.04,0.00,0.01,1.00,334,FALSE,FALSE,AX,0.9523545,0.0000000,0.0415430,0.0061025,0.0000000
Termalene Multipurpose EP GR 2,8/7/23,219,2308030030,BK2,Calumet,350 kg,0.0000000,0.95,0.04,0.00,0.01,1.00,293,FALSE,FALSE,AX,0.9526259,0.0000000,0.0413111,0.0060630,0.0000000
Molylube 5% Moly EP GR AC 46-0,3/15/23,74,2303100093,BK2,Calumet,620 kg,0.3510734,0.58,0.00,0.06,0.00,1.00,374,FALSE,FALSE,AX,0.8943073,0.0938113,0.0068189,0.0050625,0.0000000
RP Ultra-Performance Grease #2,10/2/23,275,2309290217,BK2,Calumet,315kg ,0.0000000,0.84,0.16,0.00,0.00,1.00,276,FALSE,FALSE,AX,0.8379267,0.0000000,0.1571415,0.0049318,0.0881756
Termalene Multipurpose EP GR 2,7/25/23,206,2307250211,BK2,Calumet,350 kg,0.0259610,0.93,0.04,0.00,0.00,1.00,285,FALSE,FALSE,AX,0.9550632,0.0000000,0.0400505,0.0048864,0.0000000
RP Ultra-Performance Grease #2,10/10/23,283,2310060065,BK2,Calumet,315kg ,0.0000000,0.83,0.16,0.00,0.00,1.00,292,FALSE,FALSE,AX,0.8330277,0.0000000,0.1626109,0.0043614,0.1921768
RP Ultra-Performance Grease #2,10/4/23,277,2310020027,BK2,Calumet,315kg ,0.0000000,0.84,0.16,0.00,0.00,1.00,275,FALSE,FALSE,AX,0.8371242,0.0000000,0.1607002,0.0021756,0.0000000
Termalene Multipurpose EP GR 2,11/13/23,317,2311090091,BK2,Calumet,350 kg,0.0920744,0.86,0.05,0.00,0.00,1.00,290,FALSE,FALSE,AX,0.9465109,0.0000000,0.0522497,0.0012395,0.1093424
Cotton Picker Greaes #00,10/17/23,290,Z17148I,BK2,SC Fuels,none,0.6954489,0.29,0.02,0.00,0.00,1.00,402,FALSE,FALSE,LI,0.9441042,0.0000000,0.0558958,0.0000000,0.0000000
Cotton Picker Greaes #00,10/17/23,290,Z17198I,BK2,SC Fuels,none,0.7199382,0.26,0.02,0.00,0.00,1.00,408,FALSE,FALSE,LI,0.9444317,0.0000000,0.0555683,0.0000000,0.0000000
Cotton Picker Greaes #00,8/18/22,230,X16142H,BK2,SC Fuels,none,0.6952702,0.30,0.00,0.00,0.00,1.00,410,FALSE,FALSE,LI,0.9991301,0.0000000,0.0008699,0.0000000,0.0167554
Cotton Picker Greaes #00,8/16/22,228,X16158H,BK2,SC Fuels,none,0.6189524,0.38,0.00,0.00,0.00,1.00,410,FALSE,FALSE,LI,0.9991186,0.0000000,0.0008814,0.0000000,0.0180605
Cotton Picker Greaes #00,8/22/22,234,X22165H,BK2,SC Fuels,none,0.5624341,0.44,0.00,0.00,0.00,1.00,410,FALSE,FALSE,LI,0.9997322,0.0000000,0.0002678,0.0000000,0.0172725
Cotton Picker Greaes #00,10/18/23,291,Z18200I,BK2,SC Fuels,none,0.8588009,0.13,0.01,0.00,0.00,1.00,420,FALSE,FALSE,LI,0.9443161,0.0000000,0.0556839,0.0000000,0.0000000
FPL 103 Silver 70 #1,3/15/23,74,S14131I,BK2,Frontier,620 kg,0.3704801,0.51,0.09,0.03,0.00,1.00,313,FALSE,FALSE,LX,0.8056079,0.0498535,0.1445386,0.0000000,0.0000000
FPL 103 Silver 70 #1,1/3/23,3,Q03002I,BK2,Frontier,620 kg,0.3130667,0.60,0.06,0.03,0.00,1.00,315,FALSE,FALSE,LX,0.8695652,0.0481366,0.0822981,0.0000000,0.0000000
FPL 103 Silver 70 #1,4/21/22,111,T18164H,BK2,Frontier,620 kg,0.6451613,0.29,0.04,0.03,0.00,1.00,320,FALSE,FALSE,LX,0.8264463,0.0710744,0.1024793,0.0000000,0.4388371
FPL 103 Silver 70 #2,1/12/23,12,Q10070I,BK2,Frontier,620 kg,0.0000000,0.88,0.08,0.04,0.00,1.00,262,FALSE,FALSE,LX,0.8787141,0.0402338,0.0810521,0.0000000,0.1014531
FPL 103 Silver 70 #2,9/8/23,251,Y07019I,BK2,Frontier,620 kg,0.0514991,0.84,0.08,0.03,0.00,1.00,254,FALSE,FALSE,LX,0.8881790,0.0324323,0.0793886,0.0000000,0.0331931
FPL 103 Silver 70 #2,9/25/23,268,Y23166I,BK2,Frontier,620 kg,0.2343276,0.68,0.06,0.02,0.00,1.00,257,FALSE,FALSE,LX,0.8909008,0.0295037,0.0795955,0.0000000,0.0222324
FPL 103 Silver 70 #2,10/27/23,300,Z25218I,BK2,Frontier,620 kg,0.1063122,0.77,0.09,0.03,0.00,1.00,265,FALSE,FALSE,LX,0.8630026,0.0378198,0.0991776,0.0000000,0.0000000
FPL 103 Silver 70 #2,9/6/23,249,Y05003I,BK2,Frontier,620 kg,0.0000000,0.89,0.08,0.03,0.00,1.00,267,FALSE,FALSE,LX,0.8932432,0.0311900,0.0755668,0.0000000,0.0000000
FPL 103 Silver 70 #2,4/19/22,109,T12119H,BK2,Frontier,620 kg,0.1318557,0.76,0.08,0.03,0.00,1.00,283,FALSE,FALSE,LX,0.8799045,0.0325100,0.0875854,0.0000000,0.0000000
FPL 105 BLACK CAT #1,1/3/23,3,Q03002I,BK2,Frontier ,620 KGF,0.2336449,0.65,0.08,0.04,0.00,1.00,315,FALSE,FALSE,LX,0.8455285,0.0504065,0.1040650,0.0000000,0.0000000
FPL 105 BLACK CAT #1,1/16/23,16,Q13086i,BK2,Frontier ,620 KGF,0.2420214,0.52,0.08,0.17,0.00,1.00,325,FALSE,FALSE,LX,0.6811699,0.2183575,0.1004726,0.0000000,0.0000000
FPL 105 Black Cat #2,10/26/23,299,Z24214I,BK2,Frontier,620 kg,0.1726296,0.70,0.04,0.09,0.00,1.00,270,TRUE,FALSE,LI,0.8467879,0.1074856,0.0457265,0.0000000,0.0000000
FPL 105 Black Cat #2,12/28/22,362,B23179H,BK2,Frontier,620 kg,0.1697469,0.69,0.05,0.09,0.00,1.00,285,FALSE,FALSE,LX,0.8340816,0.1094276,0.0564908,0.0000000,0.4962447
FPL 112 Gear Guard #0,10/20/23,293,Z18149I,BK2,Frontier,400 kg,0.4360757,0.47,0.06,0.03,0.00,1.00,371,FALSE,FALSE,LI,0.8368069,0.0509221,0.1122710,0.0000000,0.0000000
FPL 112 Gear Guard #0,8/1/22,213,W29214H,BK2,Frontier,400 kg,0.6649619,0.21,0.09,0.03,0.00,1.00,375,FALSE,FALSE,LX,0.6137034,0.1040763,0.2822203,0.0000000,0.0000000
FPL 123 Con-Ag w/ Moly #2,4/13/23,103,T13075I,BK2,Frontier,500 kg,0.3973000,0.52,0.03,0.06,0.00,1.00,276,TRUE,FALSE,LI,0.8553637,0.0937593,0.0508770,0.0000000,0.0000000
FPL 123 Con-Ag w/ Moly #2,1/7/23,7,Q07033I,BK2,Frontier,500 kg,0.3494993,0.58,0.02,0.05,0.00,1.00,275,TRUE,FALSE,LX,0.8909480,0.0718460,0.0372060,0.0000000,0.0000000
FPL 123 Con-Ag w/ Moly #2,6/6/22,157,V01003H,BK2,Frontier,500 kg,0.1260689,0.76,0.08,0.04,0.00,1.00,280,FALSE,FALSE,LX,0.8713341,0.0411534,0.0875125,0.0000000,0.0000000
FPL 123 Con-Ag w/ Moly #2,4/2/22,92,S28208H,BK2,Frontier,500 kg,0.1206827,0.76,0.08,0.04,0.00,1.00,292,FALSE,FALSE,LX,0.8633942,0.0458356,0.0907702,0.0000000,0.0544922
FPL 123 Conag With Moly,10/23/23,296,Z20169I,BK2,Frontier,500 kg,0.2028597,0.71,0.03,0.06,0.00,1.00,311,TRUE,FALSE,LI,0.8881853,0.0716687,0.0401460,0.0000000,0.1210048
HD AC 180B #2,8/30/22,242,X23202H,BK2,Pack Logix,none,0.0447788,0.94,0.02,0.00,0.00,1.00,313,FALSE,FALSE,AX,0.9839241,0.0000000,0.0160759,0.0000000,0.0000000
HD AC 180B #2,8/30/22,242,X23202H,BK2,Pack Logix,none,0.0447788,0.94,0.02,0.00,0.00,1.00,313,FALSE,FALSE,AX,0.9839241,0.0000000,0.0160759,0.0000000,0.0000000
Huskey EP Lith,9/15/23,258,Y13080I,BK2,Huskey,500 kg,0.4664614,0.46,0.07,0.00,0.00,1.00,275,TRUE,FALSE,LI,0.8650734,0.0000000,0.1349266,0.0000000,0.0000000
Huskey EP Lith,9/18/23,261,Y15109I,BK2,Huskey,500 kg,0.4138817,0.52,0.07,0.00,0.00,1.00,279,TRUE,FALSE,LI,0.8822055,0.0000000,0.1177945,0.0000000,0.0000000
Huskey EP Lith,4/21/23,111,T18140I,BK2,Huskey,500 kg,0.3277290,0.60,0.07,0.00,0.00,1.00,286,TRUE,FALSE,LX,0.8985004,0.0000000,0.1014996,0.0000000,0.0000000
